order_id,customer_id,order_date,shipping_date,shipping_cost,shipping_country,shipping_city,shipping_company,delivery_days,delivery_status,is_domestic
ORD1173,CUST316,7/2/2025,7/10/2025,36.05,Cote D'Ivoire,West Donna,Usps,8,ontime,No
ORD1274,CUST557,12/6/2024,12/15/2024,51.01,Isle Of Man,Mariafurt,Ups,9,ontime,No
ORD1490,CUST890,2/8/2025,2/18/2025,74.84,Marshall Islands,Lake Tiffany,Ups,10,ontime,No
ORD1072,CUST371,3/24/2025,4/6/2025,79.59,Liechtenstein,Rebeccaton,Ups,13,late,No
ORD1305,CUST685,10/13/2024,10/19/2024,59.61,Jordan,East Ryanfurt,Ups,6,ontime,No
ORD1076,CUST853,4/14/2025,4/23/2025,10.79,Algeria,North Sierraberg,Ups,9,ontime,No
ORD1476,CUST661,7/1/2025,7/13/2025,62.84,Egypt,New Seanstad,Usps,12,late,No
ORD1140,CUST788,7/28/2025,8/2/2025,26.34,Niue,North Heidi,Fedex,5,ontime,No
ORD1470,CUST483,1/15/2025,1/19/2025,7.68,Gabon,West Desireebury,Dhl,4,ontime,No
ORD1499,CUST465,12/8/2024,12/22/2024,79.18,Suriname,Barbaramouth,Ups,14,late,No
ORD1218,CUST146,8/13/2025,8/14/2025,57.57,Mauritius,New Caseyport,Fedex,1,ontime,No
ORD1009,CUST320,10/9/2024,10/22/2024,36.98,Micronesia,Mariastad,Dhl,13,late,No
ORD1480,CUST711,3/17/2025,3/26/2025,6.56,Bermuda,Stokesmouth,Amazon Logistics,9,ontime,No
ORD1078,CUST973,2/22/2025,3/3/2025,19.96,Brunei Darussalam,West Michaelton,Amazon Logistics,9,ontime,No
ORD1322,CUST966,2/26/2025,3/11/2025,57.94,Kazakhstan,West Nathan,Dhl,13,late,No
ORD1312,CUST743,3/8/2025,3/10/2025,90.82,Saudi Arabia,Maldonadoshire,Dhl,2,ontime,No
ORD1124,CUST294,4/6/2025,4/11/2025,,San Marino,South Jeffrey,Usps,5,ontime,No
ORD1384,CUST447,12/14/2024,12/20/2024,5.58,Brazil,Lake Jacobhaven,Fedex,6,ontime,No
ORD1195,CUST766,6/29/2025,7/4/2025,63.51,Luxembourg,Wolfborough,Amazon Logistics,5,ontime,No
ORD1447,CUST319,5/29/2025,6/4/2025,95.03,Mayotte,Huangfurt,Usps,6,ontime,No
ORD1271,CUST448,5/9/2025,5/22/2025,53.24,North Macedonia,Oscarhaven,Dhl,13,late,No
